Episode, Episode_Reward
0,-254.84867749710486
1,-201.62378876730932
2,-125.72550865493007
3,-240.02799021244408
4,-97.26583105737554
5,-70.12760771115178
6,-106.9828473884576
7,-66.67469370392273
8,-68.77707088047762
9,-79.00933380452018
10,-145.07876103713926
11,-87.47497623968182
12,-392.4184969366637
13,-155.89869977806833
14,-211.35808841924103
15,-410.4596735539445
16,-267.4776298716505
17,-251.12388895783624
18,-192.8367603870766
19,-108.26765506388753
20,-88.6480111799408
21,-214.90573852330778
22,-100.55515715929697
23,-178.9427682456667
24,-211.23492357550515
25,-209.60032341718394
26,-41.46239594612116
27,-109.88493829639327
28,-118.66196701972692
29,-103.8443086302361
30,-272.117743636624
31,-106.62057434891766
32,-309.0496645606575
33,-346.82753041842375
34,-155.90381341641353
35,-43.102797443199734
36,-180.3298078275406
37,-192.7151037692119
38,-305.98688852745465
39,24.243641375933862
40,-191.43514372717664
41,-182.47231495890327
42,-69.55080514075713
43,-85.54920216423585
44,-229.5112831103305
45,-147.29806648204237
46,-120.43362963622543
47,-116.99162518817617
48,-241.39674919410007
49,-104.06754339820371
50,-381.04774581125565
51,-137.42931451874762
52,-116.59689759927184
53,-390.8196369072959
54,-269.0291670520679
55,-112.30863245408435
56,-333.78259162984057
57,-182.2245937890969
58,-153.2438274433432
59,-283.66049814739085
60,-463.4669865292931
61,-154.22860517035377
62,-302.95716318363486
63,-91.14771937411354
64,-139.26502592971855
65,-105.1563476242269
66,-73.72407165471549
67,-114.05426312143254
68,-361.5318538400554
69,-176.16550601789046
70,-200.27020642665943
71,-326.81633403152625
72,-294.4414026890066
73,-31.343661055689424
74,-131.39421326896073
75,-130.70950420679907
76,-43.89499437271198
77,-38.278300250414496
78,-318.4059563600863
79,-110.93430029588174
80,-122.86258482804033
81,-216.53805627544597
82,-38.51267458509733
83,-202.0935288435908
84,-172.1157572200389
85,-127.33405505936882
86,-113.51450684221157
87,-29.169794261740876
88,-120.8953652608662
89,-92.57222274659743
90,-115.208929214064
91,-129.22685645263266
92,-122.68449017803516
93,-93.19017099829956
94,-296.25016779376676
95,-124.3774667320983
96,-65.49378581196657
97,-122.4369513755123
98,-66.11547740014262
99,-126.38237211966022
100,-27.87146908527552
101,-83.32825347848662
102,-118.20834537289124
103,-267.1520299404416
104,-203.25369664941735
105,-111.00120436692207
106,-90.19255530410149
107,-250.84911396877288
108,-86.93573263796452
109,-319.47625562039275
110,-154.80745505130972
111,-158.08948932537436
112,-93.65455262060942
113,-268.5581330284832
114,-109.9035472796026
115,-122.08430772144806
116,-243.8885070138802
117,-98.51141300895824
118,-77.63512658635088
119,-204.6465871630959
120,-87.06034370868417
121,-51.78957761512747
122,-44.27681711433928
123,16.09075944246503
124,19.63088014206791
125,-58.45373268882098
126,-269.60817718726514
127,-63.59165904723799
128,-57.39715241337087
129,-153.5976532734132
130,-336.650068123139
131,-75.20870639771195
132,-142.78477802770172
133,-130.50104491328295
134,-5.228479950606612
135,-70.54696164021837
136,-69.06166482549604
137,-106.85381245643552
138,-312.729923713315
139,-519.6291338696232
140,-104.25242861826841
141,-98.38500345832453
142,-195.86361178085514
143,-109.88471132141974
144,-139.15403171734755
145,42.66705508746122
146,-129.4724760057284
147,-82.94910018745864
148,-64.14619634947347
149,-104.34067853131458
150,-101.96368363151907
151,-75.97383568163453
152,-127.14698922388779
153,-81.24032777396964
154,-88.46461070343403
155,-65.071771652948
156,-104.42141964370371
157,-71.07378860182547
158,-64.51901849359524
159,-94.85158735932824
160,-103.90062495282153
161,-42.59744388670097
162,-97.47602970583242
163,-107.08002878031814
164,-209.20931219447118
165,-204.17833745262806
166,-136.42263003342967
167,-65.04096287609818
168,-96.37511412796626
169,-30.308143341059534
170,-123.49326493396057
171,-121.82724333700378
172,-226.11151491907373
173,-69.1616081246322
174,-247.87473064939607
175,-70.31396087327073
176,-77.67658174954241
177,-65.28513001393043
178,-74.44639861138542
179,-70.70931596919706
180,-96.51247903942591
181,-55.63264368699281
182,-104.98180246846695
183,-86.3541099014133
184,-41.98743165299016
185,-140.70004900328885
186,-91.23208037599923
187,-50.94684163825525
188,-23.16148159836385
189,-196.56506631428425
190,-83.96633202492524
191,-148.97416174673546
192,-53.209592346646915
193,-87.16065171276426
194,-107.01004621422247
195,-95.34634731185574
196,-105.72282549963498
197,-165.2338947788113
198,-52.492241740570655
199,-79.93742449007627
200,17.70214742285249
201,-58.26383742655706
202,-60.81240316524325
203,-106.6428891641192
204,-62.43130464307771
205,-148.38029789869148
206,-105.05530911883909
207,-139.44500241140037
208,-71.68839053883977
209,-182.04012181826442
210,-161.18054377273654
211,-94.21624773368727
212,-64.38399951010155
213,-78.04947347735933
214,-142.4961718798961
215,-105.0212072479655
216,-66.35569672084208
217,-132.50939069324755
218,-29.877128768373638
219,-170.13455063832401
220,-113.9420664844448
221,-91.18279023774726
222,-70.08000132530519
223,-45.0669964951021
224,-86.02590708134464
225,-91.11225276486853
226,-131.3368204012728
227,-115.35281913531523
228,-141.34700860565084
229,-88.76903346369022
230,-126.43840993800247
231,-104.62504190617013
232,-73.69718274406168
233,-50.503385938759905
234,-122.42107494207178
235,-78.65159940700889
236,-103.4754450666207
237,-69.93884467815886
238,-115.65525055260153
239,-132.72305831468526
240,-46.00116657587499
241,-89.46090106639843
242,-78.05592342250365
243,-105.30679674689661
244,-48.84276991772416
245,-147.96686126747056
246,-75.2687480120435
247,-91.90562392179942
248,-169.91676532086768
249,-19.274941223440578
250,-63.653579791528934
251,-78.97237099166975
252,-142.88127380834118
253,-82.99116667924366
254,-103.58299001444487
255,-31.02051783745935
256,-78.63192083154352
257,-73.47040038938641
258,-44.64139029153227
259,-71.65131545541483
260,-36.2704187439559
261,-133.15963653999836
262,-57.00327978791521
263,-72.78072035312206
264,-60.91128576363664
265,-73.69135109953793
266,-84.12588192993293
267,-98.83799293346162
268,-112.43256702800079
269,-76.93183587441315
270,-80.60672275477643
271,-278.501761733295
272,-53.13865439467045
273,-67.30613099663933
274,-51.276630704615265
275,-21.69887173350918
276,-65.08349232260399
277,-78.95071962106552
278,-100.62524745498405
279,-69.00317411056783
280,-29.18767529679708
281,-38.68421732794545
